GW,player_id,name,position,team,value,opponent_display,is_home_display,num_fixtures,predicted_points
32,848,Marco Asensio,mid,Aston Villa,60,Southampton,0,1,1.33
32,1264,Tyrone Mings,def,Aston Villa,45,Southampton,0,1,1.33
32,399,Ferdi Kadioglu,def,Brighton,45,Leicester,1,1,1.32
32,116,Axel Tuanzebe,def,Ipswich,40,Brighton,0,1,1.31
32,578,Jason Steele,gk,Brighton,40,Leicester,1,1,1.31
32,1098,Romain Esse,mid,Crystal Palace,50,Nott'm Forest,0,1,1.31
32,1303,Willy Boly,def,Wolves,45,Liverpool,0,1,1.31
32,489,Igor Julio dos Santos de Paulo,def,Brighton,45,Leicester,1,1,1.3
32,397,Felipe Rodrigues da Silva,def,Nottingham Forest,45,Liverpool,0,1,1.29
32,756,Leny Yoro,def,Man United,45,Aston Villa,1,1,1.29
32,593,Jeffrey Schlupp,mid,Crystal Palace,50,Nott'm Forest,0,1,1.28
32,653,Jonny Evans,def,Leicester,45,Aston Villa,1,1,1.28
32,1183,Spike Brits,gk,Man City,40,Everton,1,1,1.28
32,1223,Thomas Wilson-Brown,def,Leicester,40,Crystal Palace,1,1,1.28
32,114,Axel Disasi,def,Chelsea,50,Southampton,0,1,1.27
32,388,Fabio Ferreira Vieira,mid,Arsenal,60,Brentford,1,1,1.26
32,1037,Patrick Dorgu,def,Man United,45,Aston Villa,1,1,1.26
32,355,Elyh Harrison,gk,Man United,40,Aston Villa,1,1,1.25
32,447,Gustavo Nunes Fernandes Gomes,mid,Brentford,50,Arsenal,0,1,1.25
32,251,Conor Chaplin,mid,Ipswich,55,Brighton,0,1,1.24
32,572,Jan Paul van Hecke,def,Brighton,40,Leicester,1,1,1.24
32,540,Jaidon Anthony,mid,Bournemouth,55,Fulham,1,1,1.23
32,350,Elkan Baggott,def,Ipswich,40,Brighton,0,1,1.22
32,1229,Tino Livramento,def,Southampton,45,Wolves,0,1,1.22
32,239,Cieran Slicker,gk,Ipswich,40,Brighton,0,1,1.21
32,261,Curtis Jones,mid,Liverpool,50,Newcastle,0,1,1.21
32,410,Franco Umeh-Chibueze,mid,Crystal Palace,45,Nott'm Forest,0,1,1.21
